nombre,url,formato,logo,estado,categoria
Cartoon Network,https://thundernet.streampool.net/10323/live/hls/cartoonnetwork/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/f3/af/1c70-45cb-4dde-84fa-33018e864718.png,1,Infantil
Cartoonito,https://thundernet.streampool.net/10323/live/hls/cartoonito/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/d5/c7/1b1c-cd61-4ef4-be81-00daa6c2a2c7.png,1,Infantil
Disney Channel,https://thundernet.streampool.net/10323/live/hls/disney/playlist.m3u8,m3u8,,1,Infantil
Dreamworks,https://thundernet.streampool.net/10323/live/hls/dreamworks/playlist.m3u8,m3u8,,1,Infantil
Nick,https://thundernet.streampool.net/10323/live/hls/nick/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/24/51/68c2-0c31-4d59-a00d-e3e96c4ca692.png,1,Infantil
Nick Junior,https://thundernet.streampool.net/10323/live/hls/nickjrhd/playlist.m3u8,m3u8,,1,Infantil
Tooncast,https://thundernet.streampool.net/10323/live/hls/tooncast/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/8f/0f/bcfd-5755-4018-8224-7a0c2002d1a2.png,1,Infantil
BitMe,https://thundernet.streampool.net/10323/live/hls/bitmehd/playlist.m3u8,m3u8,,1,Otros
BabyTV,https://thundernet.streampool.net/10323/live/hls/babytv/playlist.m3u8,m3u8,,1,Infantil
PlimPlim TV,https://thundernet.streampool.net/10323/live/hls/plimplim/playlist.m3u8,m3u8,,1,Infantil
Zoomoo HD,https://thundernet.streampool.net/10323/live/hls/zoomoohd/playlist.m3u8,m3u8,,1,Infantil
MaxAnime,https://thundernet.streampool.net/10323/live/hls/maxanime/playlist.m3u8,m3u8,,1,Películas
Azteca,https://thundernet.streampool.net/10323/live/hls/aztecamundo/playlist.m3u8,m3u8,,1,Entretenimiento
VenevisionPlus,https://thundernet.streampool.net/10323/live/hls/venevisionplushd/playlist.m3u8,m3u8,,1,TV Abierta Venezuela
Telemundo Internacional,https://thundernet.streampool.net/10323/live/hls/telemundo/playlist.m3u8,m3u8,,1,Otros
Univision,https://thundernet.streampool.net/10323/live/hls/univision/playlist.m3u8,m3u8,,1,Otros
TvFamilia,https://thundernet.streampool.net/10323/live/hls/tvfamilia/playlist.m3u8,m3u8,,1,Otros
IVC,https://thundernet.streampool.net/10323/live/hls/ivc/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/5d/bd/9f2d-b130-4737-8c5d-4bb311aaab53.png,1,Otros
Home&Healt,https://thundernet.streampool.net/10323/live/hls/home&healthhd/playlist.m3u8,m3u8,,1,Otros
Telenovelas,https://thundernet.streampool.net/10323/live/hls/telenovelas/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/5a/9f/9b2b-3633-4c47-820a-5347b35317f7.png,1,Series y Novelas
